,TEAM,TIME,ATHLETES,MEET,MEET DATE,EVENT,GENDER
58,Kansas State (D),3:37.23,"Gamble, Mitchell, Kolmer, Stambolic",Brutus Hamilton Challenge,2015-04-25,4x400,W
59,Fresno State (A),3:37.39,"Johnson, Johnson, Harris-Murillo, Omawahleh",Mountain West Outdoor Track & Field Championships,2015-05-13,4x400,W
60,Arkansas (F),3:37.42,"Williams, Williams, Brooks, Swinton",SEC Championships,2015-05-14,4x400,W
61,Purdue (C),3:37.52,"Dunlap, Jones, Cox, Thomas",2015 Clyde Littlefield Texas Relays,2015-03-25,4x400,W
62,Penn State (A),3:37.59,"Osborne, McGee, Rhodes, Davis",2015 Penn Relays,2015-04-23,4x400,W
63,Virginia (F),3:37.65,"Smith, Lavender, Fabrizio, Wright",ACC Outdoor Track & Field Championships,2015-05-14,4x400,W
64,VCU (H),3:37.73,"Porter, Polk, Grasty, Scott",2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,4x400,W
65,UCLA (F),3:37.84,"Walker, Hunter, Austin-Reese, Courtnall",Pac-12 Track & Field Championships,2015-05-15,4x400,W
66,Michigan State (B),3:37.85,"Westney, Wilberding, Evans, Franklin",Virginia Challenge,2015-04-17,4x400,W
66,Coastal Carolina (A),3:37.85,"Gelibert, Green, Simpson, Hurley",2015 Penn Relays,2015-04-23,4x400,W
68,Fresno State (B),3:37.88,"Johnson, Omawahleh, Efonye, Johnson",Sacramento State Mondo Mid Major Challenge,2015-04-04,4x400,W
69,Purdue (E),3:38.07,"Black, Jones, Dunlap, Thomas",Florida Relays,2015-04-02,4x400,W
70,Miss State (D),3:38.08,"Archer, McNeil, Luckett, Martin",SEC Championships,2015-05-14,4x400,W
71,Arkansas (B),3:38.15,"Williams, Harper, Swinton, Ellis-Watson",John McDonnell Invitational,2015-04-10,4x400,W
72,Michigan (D),3:38.16,"Onimo, Carey, Michell, Long",Big Ten Outdoor Track & Field Championships,2015-05-15,4x400,W
73,Texas Tech (D),3:38.29,"Speight, White, Thompson, Foreman",2015 Drake Relays presented by Hy-Vee,2015-04-22,4x400,W
74,Cal St. Northridge (K),3:38.33,"Dirks, Lambert, Veale, Vincej",2015 Bulldog Invitational,2015-04-25,4x400,W
75,Iowa (A),3:38.38,"Kwaza, Holder, Brown, Guster",Florida Relays,2015-04-02,4x400,W
76,Miss State (B),3:38.48,"Martin, Bougard, Luckett, Archer",Florida Relays,2015-04-02,4x400,W
77,Kentucky (B),3:38.51,"Pugh, Hackworth, Tyson, Nugent",Florida Relays,2015-04-02,4x400,W
78,St. John's (E),3:38.59,"Oguledo, Ricketts, Schulz, Garcia",2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,4x400,W
79,St. John's (B),3:38.61,"Rodrigues, Ricketts, Schulz, Garcia",BIG EAST Outdoor Track & Field Championships,2015-05-08,4x400,W
79,Arizona State (B),3:38.61,"Crozier, Franklin, Houlihan, McDonald",2015 Arizona State Pac-12 vs Big 10 Invitational,2015-03-27,4x400,W
81,Sam Houston St. (A),3:38.73,"Amaku, Church, Grady, Grigsby",Mt. SAC Relays,2015-04-16,4x400,W
82,Stanford (A),3:38.84,"Williams, Baker, Crunkleton-Wils, Gayles",Stanford Invitational,2015-04-03,4x400,W
83,Western Kentucky (B),3:38.86@,"Smith, Hardy, Alzola, Terrell",Conference USA Outdoor Track & Field Championships,2015-05-14,4x400,W
84,Arizona (H),3:38.91,"Waggoner, Trevisan, Gajda, Hailey",2015 Drake Relays presented by Hy-Vee,2015-04-22,4x400,W
85,Stanford (C),3:38.98,"Baker, Williams, Saunders, Gayles",Big Meet: Cal vs. Stanford,2015-04-11,4x400,W
86,Virginia (D),3:38.99,"Ezumah, Lavender, Smith, Wright",Virginia Challenge,2015-04-17,4x400,W
87,LSU (E),3:39.02,"Jones, Payne, Harris, Schuetz",LSU Invitational,2015-05-02,4x400,W
88,Colorado (A),3:39.03,"Mattson, Holland, Brown, Gehring",Pac-12 Track & Field Championships,2015-05-15,4x400,W
88,Florida State (B),3:39.03,"Ichite, Watson, Over, Chandler",Florida State Relays,2015-03-27,4x400,W
90,Pittsburgh (E),3:39.04,"Watkins, Kearney, Ismail, Thompson",ACC Outdoor Track & Field Championships,2015-05-14,4x400,W
90,Princeton (K),3:39.04,"Blocker, Mackay, Anyanwu, Barowski",Ivy League Outdoor Track & Field Championships,2015-05-09,4x400,W
92,UMBC (C),3:39.07,"Fogle, Abbey, Fredericks, Tillman",2015 IC4A/ECAC Outdoor Track & Field Championships,2015-05-15,4x400,W
93,UTSA (B),3:39.12@,"Swift, Patterson, Taylor, Arinze",Conference USA Outdoor Track & Field Championships,2015-05-14,4x400,W
94,Michigan (A),3:39.15,"Onimo, Carey, Pfeifer, Long",Cal-Michigan-Virginia Tri Meet,2015-04-04,4x400,W
95,Washington St. (A),3:39.30,"Winfrey, Harper, Ekelem, Allen",Mt. SAC Relays,2015-04-16,4x400,W
96,Indiana State (C),3:39.37,"Obasih, Newsome, Jackson, Marrero",2015 MVC Outdoor Track and Field Championships,2015-05-15,4x400,W
97,UCF (F),3:39.44,"Jean-Claude, Nieuwendam, Peterson, Jocelyn",Florida Relays,2015-04-02,4x400,W
98,Texas State (C),3:39.54,"Brown, Wesley, Dorner, Adams",2015 Clyde Littlefield Texas Relays,2015-03-25,4x400,W
99,Penn State (B),3:39.58,"Davis, Rhodes, Black, McGee",Big Ten Outdoor Track & Field Championships,2015-05-15,4x400,W
100,Cincinnati (E),3:39.67,"Lee, Grant, Good, Woodall",The American Outdoor Track & Field Championships,2015-05-14,4x400,W
1,South Carolina,3:27.53,"Abrams, Davis, Jonathas, Mills",Florida Relays,2019-03-28,4x400,W
2,Florida,3:27.76,"Manson, Barnett, Stephens, Anderson",Florida Relays,2019-03-28,4x400,W
3,Alabama,3:28.60,"Roberson, Prieto, Clark, McDonald",Florida Relays,2019-03-28,4x400,W
4,Arkansas,3:29.22,"Peoples, Burks Magee, Chadwick, Campbell",SEC Outdoor Track & Field Championships,2019-05-09,4x400,W
5,USC,3:29.23,"Lear, Cockrell, Constantine, Roberts",2019 Pac-12 Track & Field Championships,2019-05-04,4x400,W
6,Texas A&M,3:29.99,"Owens, Robinson-Jones, Reed, Richardson",SEC Outdoor Track & Field Championships,2019-05-09,4x400,W
7,Arkansas (B),3:30.37,"Burks Magee, Parker, Chadwick, Campbell",LSU Alumni Gold,2019-04-20,4x400,W
8,Oregon,3:30.57,"D'Arpino, Waller, Brown, DesRosiers",Mt. SAC Relays,2019-04-18,4x400,W
9,Kentucky,3:30.81,"Ross, Steiner, Russell, Abbott",Tennessee Relays,2019-04-11,4x400,W
10,Texas,3:31.16,"Douglas, Simon, Abdul-Rashid, Golden",Big 12 Outdoor Track and Field Championships,2019-05-10,4x400,W
11,Alabama (B),3:31.66,"Baker, Funcheon, Lampkin, McDonald",SEC Outdoor Track & Field Championships,2019-05-09,4x400,W
12,Oregon (B),3:31.85,"Jackson, DesRosiers, D'Arpino, Waller",2019 Pac-12 Track & Field Championships,2019-05-04,4x400,W
13,Arizona,3:32.13,"Meisberger, Waggoner, Gajda, Pahlitzsch",2019 Pac-12 Track & Field Championships,2019-05-04,4x400,W
14,Miami (Fla.),3:32.22,"Mason, Ellis, Gonzalez, Johnson",Florida Relays,2019-03-28,4x400,W
15,Texas A&M (B),3:32.40,"Owens, Richardson, Robinson-Jones, Fray",Texas A&M Alumni Muster,2019-04-27,4x400,W
16,Oklahoma,3:32.61,"Merriweather, Blackmon, Giles, Merriweather",Big 12 Outdoor Track and Field Championships,2019-05-10,4x400,W
17,Tennessee,3:32.63,"White, Weil, Dyer, Broadwater",Tennessee Relays,2019-04-11,4x400,W
17,Baylor,3:32.63,"Powell, Washington, Miller, Horton",Michael Johnson Invitational,2019-04-19,4x400,W
19,Clemson,3:32.67,"Clarke, Williams, Mallard, McIntosh",Florida Relays,2019-03-28,4x400,W
20,Miami (Fla.) (B),3:32.88,"Runia, Ellis, Atherley, Johnson",Miami Power 5 Trailblazer Challenge,2019-03-23,4x400,W
21,Tennessee (B),3:33.16,"Dyer, Cameron, Weil, Broadwater",Miami Power 5 Trailblazer Challenge,2019-03-23,4x400,W
22,Arkansas (C),3:33.35,"Burks Magee, Campbell, Davis, Hammit",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,4x400,W
23,Miami (Fla.) (C),3:33.37,"Runia, Gonzalez, Ellis, Atherley",UF Tom Jones Memorial,2019-04-26,4x400,W
24,Miami (Fla.) (D),3:33.56,"Runia, Ellis, Mason, Gonzalez",Miami Hurricane Alumni Invitational,2019-04-12,4x400,W
25,Baylor (B),3:33.75,"Powell, Washington, Miller, Horton",Big 12 Outdoor Track and Field Championships,2019-05-10,4x400,W
26,Arkansas (D),3:33.79,"Peoples, Burks Magee, Campbell, Hammit",John McDonnell Invitational,2019-04-12,4x400,W
27,Georgia,3:34.09,"Ransby, Lester, Zoller, Tanner",SEC Outdoor Track & Field Championships,2019-05-09,4x400,W
28,Alabama (C),3:34.11,"Baker, Darius, Lampkin, Funcheon",LSU Battle on the Bayou,2019-04-06,4x400,W
29,Jacksonville,3:34.18,"Williams, Toombs, Reynolds, Davidson",UF Tom Jones Memorial,2019-04-26,4x400,W
30,Kansas,3:34.20,"Kuykendoll, Montgomery, Eubanks, Finley",Big 12 Outdoor Track and Field Championships,2019-05-10,4x400,W
31,Texas A&M (C),3:34.28,"Owens, Reed, Martin, Robinson-Jones",The Reveille Meet,2019-04-06,4x400,W
32,Florida (B),3:34.62,"Anderson, Manson, Ghee, Stephens",LSU Alumni Gold,2019-04-20,4x400,W
33,LSU,3:34.68,"Oviosun, Humphrey, Young, Woodward",Miami Hurricane Alumni Invitational,2019-04-12,4x400,W
34,Oregon (C),3:34.74,"DesRosiers, D'Arpino, Waller, Dunmore",40th Sun Angel Track Classic,2019-04-05,4x400,W
35,Charlotte,3:34.76,"Lee, Petty, Singletary, Williams",Conference USA Outdoor Championships,2019-05-09,4x400,W
36,Colorado,3:34.82,"Johnson, Welch, Henderson, Scott",2019 Pac-12 Track & Field Championships,2019-05-04,4x400,W
37,Texas Tech,3:34.99,"Warden, Price, Rockwell, Smith",Big 12 Outdoor Track and Field Championships,2019-05-10,4x400,W
38,San Diego St.,3:35.02,"Roberson, Barrow, Harris, McNeil",Mountain West Outdoor Track & Field Championship,2019-05-08,4x400,W
39,Connecticut,3:35.06,"Cherrington, Aneno, Parms, Surin",The American Outdoor Track & Field Championships,2019-05-10,4x400,W
40,Alabama (D),3:35.13,"McDonald, Baker, Prieto, Roberson",FSU Relays (College),2019-03-22,4x400,W
41,Stephen F. Austin,3:35.16,"Burch, Jackson, Nave, Teel",ACU Last Chance 2019,2019-05-12,4x400,W
41,Texas A&M (D),3:35.16,"Madubuike, Robinson-Jones, Reed, Richardson",Roadrunner Invitational,2019-03-21,4x400,W
43,Texas (B),3:35.24,"Abdul-Rashid, Douglas, Flannel, Golden",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,4x400,W
44,USC (B),3:35.34,"Lear, Cockrell, Russell, Constantine",Mt. SAC Relays,2019-04-18,4x400,W
45,Penn,3:35.43,"Wilson, Ene, Brown-Soler, Nwogwugwu",125th Penn Relays,2019-04-25,4x400,W
46,N. Carolina A&T,3:35.59,"Ray, Williams, Barnes, Florence",MEAC Outdoor Track & Field Championships,2019-05-02,4x400,W
47,Baylor (C),3:35.71,"Stewart, Washington, De Souza, Miller",National Relay Championships,2019-04-26,4x400,W
48,Purdue,3:35.73,"Dorsey, Heckstall, Campbell, Miller",Florida Relays,2019-03-28,4x400,W
49,Liberty,3:35.77,"Ealum, Dansbury, McDowell, Dowling",ASUN Outdoor Track & Field Championships,2019-05-10,4x400,W
50,Kansas (B),3:35.79,"Kuykendoll, Montgomery, Eubanks, Finley",LSU Battle on the Bayou,2019-04-06,4x400,W
51,Oklahoma State,3:35.85,"Birmingham, Dixon, Smith, Coleman",Big 12 Outdoor Track and Field Championships,2019-05-10,4x400,W
52,Maryland,3:35.90,"Santiago, Jones, Ward, Fagan",Florida Relays,2019-03-28,4x400,W
53,Alabama (E),3:36.02,"Baker, Roberson, Funcheon, McDonald",LSU Invitational,2019-04-27,4x400,W
54,Duke,3:36.06,"Lowe, Aveni, Simmons, Kerr",Battle of the Blues,2019-04-06,4x400,W
55,Clemson (B),3:36.12,"Clarke, Mallard, Foster, McIntosh",ACC Championships,2019-05-09,4x400,W
56,Ohio State,3:36.20,"Kopp, Battle, Senior, Barlow",Gamecock Invitational Outdoor,2019-04-13,4x400,W
57,Iowa,3:36.32,"Kimbro, Weum, Simmons, Wensel",Florida Relays,2019-03-28,4x400,W
58,Texas (C),3:36.57,"Abdul-Rashid, Simon, Flannel, Golden",National Relay Championships,2019-04-26,4x400,W
59,Clemson (C),3:36.61,"Thomas, Warner, Foster, Felton",Florida Relays,2019-03-28,4x400,W
60,Purdue (B),3:36.63,"Dorsey, Hodges, Campbell, Miller",Big Ten Championships,2019-05-10,4x400,W
61,USC (C),3:36.70,"Lear, Cockrell, Richardson, Constantine",USC vs UCLA,2019-04-27,4x400,W
62,USC (D),3:36.93,"Lear, Russell, Brewer, Constantine",Jim Click Shootout,2019-04-06,4x400,W
63,Penn (B),3:36.94,"Brown-Soler, Ene, Akins, Nwogwugwu",Tennessee Relays,2019-04-11,4x400,W
64,Arizona (B),3:37.06,"Meisberger, Waggoner, Howard, Pahlitzsch",Jim Click Shootout,2019-04-06,4x400,W
65,Oklahoma (B),3:37.35,"Blackmon, Merriweather, Giles, Merriweather",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,4x400,W
65,UCF,3:37.35,"D'Oliveira, Hyde, Bradwell, Gallmon",UF Tom Jones Memorial,2019-04-26,4x400,W
67,Howard,3:37.38,"Scott, Ike, Benson, Gbai",MEAC Outdoor Track & Field Championships,2019-05-02,4x400,W
68,Wisconsin,3:37.41,"Lubow, DesRosiers, McClendon, Stubler",Big Ten Championships,2019-05-10,4x400,W
69,Texas Tech (B),3:37.51,"Price, Johnson, Birch, Warden",Michael Johnson Invitational,2019-04-19,4x400,W
69,Kansas State,3:37.51,"McKenzie, Taubert, Stephenson, Ferguson",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,4x400,W
71,San Diego St. (B),3:37.55,"Hatcher, Barrow, Harris, McNeil",2019 Desert Heat Classic,2019-04-27,4x400,W
72,TCU,3:37.57,"Crawford, Beckford, Banks, Heard",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,4x400,W
73,Ohio State (B),3:37.68,"Marsh, Battle, Barlow, Ayoub",Big Ten Championships,2019-05-10,4x400,W
74,Connecticut (B),3:37.69,"Banks, Cherrington, Grant, Parms",UCONN Northeast Challenge,2019-04-13,4x400,W
75,Fresno State,3:37.73,"Pogorevc, Henry, Mattson, Roshofa",Mountain West Outdoor Track & Field Championship,2019-05-08,4x400,W
76,Duke (B),3:37.75,"Hoffman, Kerr, Simmons, Aveni",125th Penn Relays,2019-04-25,4x400,W
77,TCU (B),3:37.78,"Beckford, Fields, Banks, Heard",National Relay Championships,2019-04-26,4x400,W
78,LSU (B),3:37.79,"Oviosun, Humphrey, Farrow, Woodward",LSU Battle on the Bayou,2019-04-06,4x400,W
79,Morgan State,3:37.80,"Denis, McDowell, Rowe, Barham",MEAC Outdoor Track & Field Championships,2019-05-02,4x400,W
80,Texas Tech (C),3:38.01@,"Rockwell, Johnson, Birch, Warden",Fearless Champion Open,2019-03-22,4x400,W
81,Pittsburgh,3:38.18,"Townsend, Ahiarakwe, Crawford, Scherer",ACC Championships,2019-05-09,4x400,W
82,Pittsburgh (B),3:38.19,"Townsend, Crawford, Muhammad, Scherer",Tennessee Relays,2019-04-11,4x400,W
83,LSU (C),3:38.20,"Misher, Humphrey, Young, Woodward",SEC Outdoor Track & Field Championships,2019-05-09,4x400,W
84,Virginia Tech,3:38.26,"Bush, Smith, Dennis, Brown",Florida Relays,2019-03-28,4x400,W
85,Mid. Tenn. State,3:38.27,"Akanwogba, Assafuah, Odiong, Egbeniyi",Conference USA Outdoor Championships,2019-05-09,4x400,W
86,Miami (Ohio),3:38.29,"Kountouri, Bruns, Hooker, Bechtel",125th Penn Relays,2019-04-25,4x400,W
86,BYU,3:38.29@,"Quackenbush, Rawlinson, Jensen, Porter",2019 BYU Robison Invitational,2019-04-25,4x400,W
88,TCU (C),3:38.36,"Beckford, Banks, Williams, Heard",Big 12 Outdoor Track and Field Championships,2019-05-10,4x400,W
89,Troy,3:38.43,"Kennedy, Bailey, Ogba, Alexander",Sun Belt Outdoor Track and Field Championships,2019-05-10,4x400,W
90,Iowa (B),3:38.47,"Weum, Simmons, Wensel, Guillory",Big Ten Championships,2019-05-10,4x400,W
91,Clemson (D),3:38.51,"Clarke, Williams, Foster, Mallard",LSU Alumni Gold,2019-04-20,4x400,W
92,Stanford,3:38.63,"Mongiovi, Best, Collier, Wilson",Stanford Invitational,2019-03-29,4x400,W
93,Wichita State,3:38.65@,"Bullocks, Garcia, McMillian, Holmes",Corky/Crofoot Shootout,2019-04-26,4x400,W
94,Kansas State (B),3:38.79,"McKenzie, Taubert, Okorie, Stephenson",National Relay Championships,2019-04-26,4x400,W
95,Cincinnati,3:38.86,"Bisiolu, Lattimore, Banks, Chandler",The American Outdoor Track & Field Championships,2019-05-10,4x400,W
96,Florida State,3:38.89,"Caldwell, Seymour, Cunningham, Davis",FSU Relays (College),2019-03-22,4x400,W
97,LSU (D),3:38.99,"Misher, Young, Woodward, Hall",LSU Invitational,2019-04-27,4x400,W
98,Arkansas (E),3:39.06,"Peoples, Hammit, Davis, Maloney",2019 92nd Clyde Littlefield Texas Relays,2019-03-27,4x400,W
98,Oklahoma State (B),3:39.06,"Birmingham, Dixon, Smith, Coleman",Jim Click Shootout,2019-04-06,4x400,W
100,Tennessee (C),3:39.28,"White, Dyer, Cantrell, Broadwater",SEC Outdoor Track & Field Championships,2019-05-09,4x400,W
1,Florida (B),3:26.28,"Reynolds, Jefferson, Barnett, Francis",Florida Relays,2016-03-31,4x400,W
2,Texas (B),3:26.54,"Gordon, Jones, Akinosun, Okolo",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,4x400,W
3,Texas (F),3:27.29,"Golden, Akinosun, Gordon, Okolo",LSU Alumni Gold,2016-04-23,4x400,W
4,Kentucky (E),3:28.45,"Gray, Mitchell, Carter, Seymour",Florida Relays,2016-03-31,4x400,W
5,Florida (D),3:29.32,"Reynolds, Barnett, Sharpe, Francis",SEC Championships,2016-05-12,4x400,W
6,South Carolina (I),3:29.54,"Abrams, Rucker, Brockington, Holmes",SEC Championships,2016-05-12,4x400,W
7,USC (B),3:29.73,"Ellis, Iuel, Stepter, Pettigrew",Power Conference Cardinal & Gold,2016-03-25,4x400,W
8,Florida (A),3:30.07,"Reynolds, Jefferson, Barnett, Sharpe",Power Conference Cardinal & Gold,2016-03-25,4x400,W
9,Oregon (C),3:30.11,"Horsley, Stevens, Feldmeier, Rogers",Penn Relays,2016-04-28,4x400,W
10,Texas A&M (I),3:30.12,"Desrosiers, Owens, Spaulding, Little",LSU Invitational,2016-04-30,4x400,W
11,Tennessee (A),3:30.18,"Dyer, Majors, White, Brown",SEC Championships,2016-05-12,4x400,W
12,Kentucky (G),3:30.27,"Mitchell, Seymour, Camacho-Quinn, Graham",SEC Championships,2016-05-12,4x400,W
13,Miami (F),3:30.61,"Washington, Stiverne, Ellis, Wimbley",ACC Championships,2016-05-13,4x400,W
14,South Carolina (E),3:31.14,"Haith, Abrams, Brockington, Bellamy",Florida Relays,2016-03-31,4x400,W
15,Iowa (C),3:31.22,"Hernandez, Guillory, Holder, Guster",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,4x400,W
16,South Carolina (H),3:31.51,"Abrams, Bellamy, Rucker, Holmes",Penn Relays,2016-04-28,4x400,W
17,Ohio State (A),3:31.59,"Winters, Cavin, Franklin, Walker",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,4x400,W
18,LSU (E),3:31.65,"Jones, Martin, Chase, Misher",SEC Championships,2016-05-12,4x400,W
19,Miami (C),3:31.73,"Washington, Stiverne, Runia, Wimbley",Miami Hurricane Alumni Invitational,2016-04-08,4x400,W
20,LSU (K),3:31.82,"Payne, Jones, Misher, Chase",LSU Invitational,2016-04-30,4x400,W
21,Notre Dame (B),3:31.86,"English, Barber, Shead, Bamgbose",ACC Championships,2016-05-13,4x400,W
22,Arkansas (B),3:32.00,"Dobbins, Harper, Swinton, Ellis-Watson",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,4x400,W
