,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
50,"Daucher, Miranda",JR-3,Buffalo,52.22m,"171' 4""",Mid-American Outdoor Track & Field Championships,2017-05-11,DT,W
51,"Griffiths, Monique",SR-4,Cal St. Northridge,52.16m,"171' 1""",2017 Triton Invitational,2017-04-21,DT,W
52,"Alesi, Rachel",SR-4,San Diego St.,52.00m,"170' 7""",San Diego Collegiate Challenge,2017-03-11,DT,W
53,"Flint, Gina",JR-3,Washington,51.98m,"170' 6""",Pac-12 Championships,2017-05-13,DT,W
54,"Nielsen, Sadie",SR-4,BYU,51.97m,"170' 6""",Beach Invitational,2017-04-14,DT,W
55,"Marfo, Obeng",JR-3,Penn State,51.87m,"170' 2""",Big Ten Outdoor Championships,2017-05-12,DT,W
55,"Keller, Morgan",SR-4,Illinois State,51.87m,"170' 2""",Lenny Lyles-Clark Wood Invitational,2017-04-28,DT,W
57,"Viberg, Julia",SR-4,Northern Arizona,51.84m,"170' 1""",2017 Willie Williams Classic (College/Open),2017-03-17,DT,W
58,"Laufenberg, Sydney",FR-1,Illinois State,51.70m,"169' 7""",2017 MVC Outdoor Track and Field Championships,2017-05-12,DT,W
59,"Standifer, Breanna",SR-4,UC Davis,51.62m,"169' 4""",2017 UC Davis - Sac State Causeway Classic,2017-04-21,DT,W
60,"Oladipo, Divine",FR-1,Connecticut,51.59m,"169' 3""",Penn Relays,2017-04-27,DT,W
61,"Crockett, Tamia",FR-1,Tennessee,51.52m,"169' 0""",SEC Relays,2017-04-28,DT,W
62,"Ljungberg, Emma",SO-2,Arizona,51.43m,"168' 9""",Jim Click Shootout,2017-04-08,DT,W
63,"Dutra, Morgan",JR-3,UC Davis,51.37m,"168' 6""",2017 Big West Track & Field Championships,2017-05-12,DT,W
64,"Dykes, Jontavia",JR-3,Florida,51.36m,"168' 6""",UF Tom Jones Memorial,2017-04-28,DT,W
65,"Vollmer, Kasie",SO-2,South Dakota St.,51.35m,"168' 6""",SMSU Mustang Open,2017-03-31,DT,W
66,"McClinton, Nakel",SR-4,Indiana,51.31m,"168' 4""",Big Ten Outdoor Championships,2017-05-12,DT,W
67,"Caldwell, Lauryn",JR-3,Texas,51.30m,"168' 4""",Big 12 Outdoor Track & Field Championships,2017-05-12,DT,W
67,"Reese, Cydnee",SR-4,Air Force,51.30m,"168' 4""",Air Force Twilight Open,2017-05-05,DT,W
69,"Wilson, Abigale",SO-2,Akron,51.17m,"167' 10""",Ashland Alumni Open,2017-04-28,DT,W
70,"Guenther, Angie",SR-4,Minnesota,51.07m,"167' 7""",Longhorn Invitational,2017-04-28,DT,W
71,"Scranton, Allison",SO-2,Cal Poly,51.06m,"167' 6""",2017 Big West Track & Field Championships,2017-05-12,DT,W
72,"Umu, Tiarah",SR-4,Cal St. Northridge,51.03m,"167' 5""",2017 Big West Track & Field Championships,2017-05-12,DT,W
73,"Torres, Yazmin",JR-3,Fresno State,50.91m,"167' 0""",Bulldog Invitational,2017-04-22,DT,W
74,"Reese, Erin",SO-2,Dayton,50.87m,"166' 11""",Oliver Nikoloff Invitational,2017-04-01,DT,W
75,"Finley, Matia",SO-2,UMKC,50.82m,"166' 9""",2017 Husker Spring Invitational,2017-04-08,DT,W
76,"Bohan, Christine",SR-4,Virginia,50.79m,"166' 8""",ACC Outdoor Track & Field Championships,2017-05-12,DT,W
76,"Wood, Brashe",JR-3,Southern Miss.,50.79m,"166' 8""",2017 Conference USA Outdoor Track & Field Championship,2017-05-11,DT,W
76,"Diller, Lyne'a",FR-1,Ohio State,50.79m,"166' 8""",Florida Relays,2017-03-30,DT,W
79,"Warren, Breanna",JR-3,Elon,50.65m,"166' 2""",Tiger Track Classic,2017-04-07,DT,W
80,"Finley, Rebecca",SO-2,UMKC,50.58m,"165' 11""",Kansas Relays,2017-04-19,DT,W
81,"Baker, Mohogany",JR-3,East Carolina,50.56m,"165' 10""",The American Outdoor Track & Field Championships,2017-05-12,DT,W
82,"Jones, Danisha",SO-2,Southern Miss.,50.54m,"165' 10""",Crimson Tide Invitational,2017-04-07,DT,W
83,"Koerperich, Hope",SO-2,Northern Iowa,50.51m,"165' 8""",2017 Husker Spring Invitational,2017-04-08,DT,W
84,"Phelps, Kiana",FR-1,Oregon,50.45m,"165' 6""",Pac-12 Championships,2017-05-13,DT,W
85,"Crosse, Tasha",JR-3,Sam Houston St.,50.36m,"165' 3""",LSU Alumni Gold,2017-04-22,DT,W
86,"Bremel, Amarie",JR-3,Duke,50.33m,"165' 1""",Pacific Beach Intercollegiate,2017-04-13,DT,W
86,"Griep, Molly",SR-4,North Dakota,50.33m,"165' 1""",NDSU Tune Up,2017-05-05,DT,W
88,"Whittaker, Alysiah",SR-4,Georgia State,50.26m,"164' 11""",Georgia Tech Invitational,2017-04-21,DT,W
89,"Picknell , Rachel",SR-4,Oregon State,50.22m,"164' 9""",Bulldog Invitational,2017-04-22,DT,W
90,"Olatoye, Sade",SO-2,Ohio State,50.18m,"164' 7""",Florida Relays,2017-03-30,DT,W
91,"Monie, Nora",SO-2,Houston,50.10m,"164' 4""",Penn Relays,2017-04-27,DT,W
92,"Barton, Hanna",SO-2,Wisconsin,50.06m,"164' 3""",Wisconsin Alumni Classic,2017-05-05,DT,W
92,"Moriconi, Olivia",JR-3,Utah State,50.06m,"164' 3""",Stanford Cardinal Classic,2017-04-21,DT,W
92,"Russell, Terrisa",SO-2,FIU,50.06m,"164' 3""",Miami Hurricane Collegiate Invitational,2017-03-25,DT,W
95,"Stone, Ronna",FR-1,Oregon,49.98m,"164' 0""",Pac-12 Championships,2017-05-13,DT,W
96,"Pate, Sarah",JR-3,Northern Iowa,49.97m,"163' 11""",2017 MVC Outdoor Track and Field Championships,2017-05-12,DT,W
97,"Block, Freya",SR-4,Southern Illinois,49.95m,"163' 10""",Bill Cornell Spring Classic,2017-03-25,DT,W
98,"Freeman, Nikki",FR-1,Southern Illinois,49.92m,"163' 9""",2017 Drury Hotels Joey Haines Invite,2017-03-31,DT,W
99,"Pete, Aaliyah",SR-4,Colorado St.,49.90m,"163' 8""",Mountain West Outdoor Track & Field Championships,2017-05-10,DT,W
100,"Flint, Brenn",SO-2,Utah State,49.88m,"163' 8""",UC Irvine Spring Break Collegiate Classic,2017-03-17,DT,W
1,"Card, Kelsey",SR-4,Wisconsin,62.22m,"204' 2""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,DT,W
2,"Carson, Hannah",SR-4,Texas Tech,61.97m,"203' 4""",Texas Tech Masked Rider Open,2016-05-06,DT,W
3,"Novy, Tera",SR-4,USC,61.10m,"200' 5""",CAL STATE LA TWILIGHT OPEN,2016-04-14,DT,W
4,"Vaughan, Shelbi",SR-4,Texas A&M,60.73m,"199' 3""",Michael Johnson Classic,2016-04-23,DT,W
5,"Knibb, Kellion",JR-3,Florida State,60.62m,"198' 11""",ACC Championships,2016-05-13,DT,W
6,"Daniels, Katelyn",SO-2,Michigan State,59.07m,"193' 9""",Virginia Challenge,2016-04-22,DT,W
7,"Ewen, Maggie",SO-2,Arizona State,59.01m,"193' 7""",37th Annual Sun Angel Classic,2016-04-08,DT,W
8,"Lawrence, Shadae",FR-1,Kansas State,58.84m,"193' 0""",Big 12 Outdoor Track & Field Championships,2016-05-13,DT,W
9,"Allman, Valarie",JR-3,Stanford,58.19m,"190' 11""",Michael Johnson Classic,2016-04-23,DT,W
10,"Famurewa, Beckie",SR-4,Kentucky,57.71m,"189' 4""",2016 Kentucky Relays (College),2016-05-07,DT,W
11,"Saunders, Raven",SO-2,Mississippi,56.85m,"186' 6""",Alabama Relays,2016-03-17,DT,W
12,"Cox, Corina",JR-3,Troy,56.04m,"183' 10""",Alabama Relays,2016-03-17,DT,W
13,"Brown, Adriana",SO-2,Kentucky,55.82m,"183' 2""",Virginia Challenge,2016-04-22,DT,W
14,"Evans, Alexa",SR-4,San Diego St.,55.64m,"182' 6""",2016 Triton Invitational,2016-04-22,DT,W
15,"Dincoff, Rachel",SR-4,Auburn,55.46m,"181' 11""",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,DT,W
16,"Monroe, Amber",SR-4,James Madison,55.45m,"181' 11""",CAA Outdoor Track and Field Championships,2016-05-06,DT,W
17,"Cameron, Lloydricia",SO-2,Florida,55.14m,"180' 11""",UF Tom Jones Memorial,2016-04-22,DT,W
18,"Okwelogu, Nikki",JR-3,Harvard,55.08m,"180' 8""",Virginia Challenge,2016-04-22,DT,W
19,"Cueva, Brianna",JR-3,Cal St. Northridge,54.96m,"180' 4""",Big West Outdoor Track & Field Championships,2016-05-13,DT,W
20,"Alesi, Rachel",JR-3,San Diego St.,54.89m,"180' 1""",California Collegiate Invitational,2016-04-02,DT,W
21,"Pachner, Madison",JR-3,BYU,54.68m,"179' 5""",2016 BYU Robison Invitational,2016-04-21,DT,W
22,"Clark, Kree",SR-4,Jacksonville,54.60m,"179' 2""",UNF Twilight,2016-05-04,DT,W
23,"Tsema, Dasha",SR-4,Kansas,54.47m,"178' 8""",Kansas Relays,2016-04-20,DT,W
24,"Onyekwere, Chioma",SR-4,Maryland,54.43m,"178' 7""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,DT,W
25,"Esser, Agnes",SO-2,Minnesota,54.35m,"178' 4""",Bruin Legends of T&F Invitational,2016-04-02,DT,W
26,"Hicks, Cion",JR-3,Baylor,54.25m,"178' 0""",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,DT,W
27,"Weimerskirch, Katelyn",JR-3,North Dakota State,54.24m,"177' 11""",NDSU Tune Up,2016-05-06,DT,W
28,"Woodard, Jessica",SO-2,Oklahoma,54.20m,"177' 10""",Big 12 Outdoor Track & Field Championships,2016-05-13,DT,W
29,"Hopkins, Kayla",SO-2,Fresno State,54.08m,"177' 5""",Mountain West Championships,2016-05-11,DT,W
30,"Bessard, Rechelle",SR-4,Northwestern St.,54.05m,"177' 4""",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,DT,W
31,"Henderson, Emmonnie",JR-3,Louisville,54.04m,"177' 3""",ACC Championships,2016-05-13,DT,W
32,"Teel, Haley",SO-2,Alabama,54.03m,"177' 3""",Florida Relays,2016-03-31,DT,W
33,"Jarchow, Ginger",SR-4,Arizona State,53.95m,"177' 0""",2016 Duel in the Desert,2016-04-30,DT,W
34,"Scarvelis, Stamatia",FR-1,UCLA,53.92m,"176' 11""",2016 Triton Invitational,2016-04-22,DT,W
35,"Ausman , Melissa",JR-3,Oregon State,53.91m,"176' 10""",2016 OSU High Performance Meet,2016-04-29,DT,W
36,"Ishmar, Raqurra",SR-4,East Carolina,53.90m,"176' 10""",The American Outdoor Track & Field Championships,2016-05-12,DT,W
37,"Uke, Claire",SR-4,Rice,53.56m,"175' 9""",Kansas Relays,2016-04-20,DT,W
38,"Johnson, Cecilya",FR-1,Tulsa,53.41m,"175' 3""",The American Outdoor Track & Field Championships,2016-05-12,DT,W
39,"Hazlewood, Micaela",SO-2,Purdue,53.26m,"174' 9""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,DT,W
40,"Jacobs, Gabi",FR-1,Missouri,53.24m,"174' 8""",John McDonnell Invitational,2016-04-22,DT,W
41,"Muzaric, Ivana",FR-1,Auburn,53.06m,"174' 1""",SEC Championships,2016-05-12,DT,W
42,"Caldwell, Lauryn",FR-1,Texas,53.00m,"173' 11""",Longhorn Invitational,2016-05-07,DT,W
43,"Levy, Daina",SR-4,Kansas,52.95m,"173' 9""",Big 12 Outdoor Track & Field Championships,2016-05-13,DT,W
44,"Porlier-Langlois, Alex",SR-4,Hawaii,52.65m,"172' 9""",Big West Outdoor Track & Field Championships,2016-05-13,DT,W
45,"Ioane, Charlinda",SR-4,Hawaii,52.42m,"172' 0""",Big West Outdoor Track & Field Championships,2016-05-13,DT,W
46,"McClinton, Nakel",JR-3,Indiana,52.28m,"171' 6""",2016 Indiana - Purdue Duals,2016-04-23,DT,W
47,"Hames, Bryanna",SO-2,Elon,52.27m,"171' 6""",CAA Outdoor Track and Field Championships,2016-05-06,DT,W
48,"Hillman, Christina",SR-4,Iowa State,52.16m,"171' 1""",Big 12 Outdoor Track & Field Championships,2016-05-13,DT,W
49,"Coward, Barbara",FR-1,UC Irvine,52.10m,"170' 11""",UC Irvine Spring Break Invitational,2016-03-19,DT,W
50,"Marfo, Obeng",SO-2,Penn State,52.03m,"170' 8""",Bucknell Team Challenge,2016-04-23,DT,W
51,"Aikhionbare, Itohan",SR-4,Oregon,52.02m,"170' 8""",Oregon Twilight,2016-05-06,DT,W
52,"Foster, Kate",SR-4,Oklahoma,52.00m,"170' 7""",Oklahoma John Jacobs Invitational,2016-04-22,DT,W
53,"Whittaker, Alysiah",JR-3,Georgia State,51.99m,"170' 7""",Florida Relays,2016-03-31,DT,W
54,"Wortham, Jaevyn",SO-2,Troy,51.96m,"170' 6""",Jaguar Opener,2016-03-04,DT,W
55,"Vollmer, Kasie",FR-1,South Dakota St.,51.88m,"170' 2""",2016 Jim Duncan Invitational,2016-04-15,DT,W
56,"Chavis, Nicole",SR-4,North Carolina St.,51.83m,"170' 0""",Florida Relays,2016-03-31,DT,W
56,"Lange, Julie",JR-3,Texas State,51.83m,"170' 0""",Sun Belt Conference Outdoor Track & Field Championships,2016-05-13,DT,W
58,"Padgett, Kayla",SR-4,East Carolina,51.78m,"169' 10""",The American Outdoor Track & Field Championships,2016-05-12,DT,W
59,"Mader, Kendall",FR-1,California,51.51m,"169' 0""",Pac-12 vs Big 10 Invitational,2016-03-25,DT,W
60,"Gordon, Alexis",JR-3,UL-Monroe,51.50m,"168' 11""",2016 McNeese Cowboy Relays,2016-03-12,DT,W
61,"Carr, Calea",SO-2,Arkansas State,51.48m,"168' 11""",Sun Belt Conference Outdoor Track & Field Championships,2016-05-13,DT,W
62,"Lebert, Sasha",SR-4,Florida State,51.44m,"168' 9""",Penn Relays,2016-04-28,DT,W
63,"Blahnik, Kennedy",FR-1,Wisconsin,51.28m,"168' 3""",Wisconsin Twilight,2016-05-06,DT,W
64,"Markert, Celine",FR-1,Texas A&M,51.08m,"167' 7""",Michael Johnson Classic,2016-04-23,DT,W
64,"Holmes-Digiovine, Makenzi",SO-2,High Point,51.08m,"167' 7""",2016 Liberty Twilight,2016-05-04,DT,W
66,"Suenram, Sadie",SR-4,Wichita State,51.04m,"167' 5""",Oklahoma John Jacobs Invitational,2016-04-22,DT,W
67,"Nilles, Maddy",FR-1,North Dakota State,50.94m,"167' 1""",Beach Pacific Coast,2016-04-14,DT,W
68,"Viltz, Brianna",SR-4,Long Beach St.,50.91m,"167' 0""",Big West Outdoor Track & Field Championships,2016-05-13,DT,W
69,"Nielsen, Sadie",SO-2,BYU,50.83m,"166' 9""",Border Clash 2016,2016-04-29,DT,W
70,"Pete, Aaliyah",JR-3,Colorado St.,50.81m,"166' 8""",Kansas Relays,2016-04-20,DT,W
71,"Ljungberg, Emma",FR-1,Arizona,50.63m,"166' 1""",Jim Bush Collegiate Invitational,2016-03-22,DT,W
72,"Merrick, Hayden",FR-1,Georgia,50.50m,"165' 8""",SEC Championships,2016-05-12,DT,W
73,"Meeks, Chelsie",JR-3,Purdue,50.41m,"165' 5""",Rankin/Poehlein Invitational,2016-05-06,DT,W
74,"Finley, Rebecca",FR-1,Colorado St.,50.40m,"165' 4""",Mountain West Championships,2016-05-11,DT,W
75,"Olatoye, Sade",FR-1,Ohio State,50.38m,"165' 3""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,DT,W
76,"Dykes, Jontavia",FR-1,Florida,50.32m,"165' 1""",UCF Black and Gold Challenge,2016-03-18,DT,W
76,"Lueck, Alyssa",SR-4,North Dakota,50.32m,"165' 1""",Al Cassell Relays,2016-04-30,DT,W
78,"Nicholson-Burley, Ada",JR-3,Kent State,50.27m,"164' 11""",2016 Drake Relays presented by Hy-Vee,2016-04-27,DT,W
79,"Holmes, Kayla",FR-1,Montana,50.26m,"164' 11""",Big Sky Outdoor Track & Field Championships,2016-05-11,DT,W
79,"Turner, Samantha",JR-3,Jacksonville,50.26m,"164' 11""",ASUN Outdoor Track & Field Championships,2016-05-13,DT,W
81,"Green, Carter",SO-2,Virginia,50.15m,"164' 6""",Lou	Onesty/Milton G. Abramson Invitational,2016-04-09,DT,W
82,"Daniels, Jakayla",SR-4,Cal St. Northridge,50.08m,"164' 4""",2016 Baylor Invitational,2016-04-09,DT,W
83,"Mosley, Jailyn",FR-1,Kent State,50.05m,"164' 2""",Akron NE Ohio Quad,2016-04-15,DT,W
84,"Guenther, Angie",JR-3,Minnesota,50.01m,"164' 1""",Rock Chalk Classic,2016-04-30,DT,W
85,"Taylor, Kayla",SR-4,Southern Miss.,49.87m,"163' 7""",Jace LaCoste- Mississippi State Invitational,2016-04-30,DT,W
86,"Baker, Mohogany",SO-2,East Carolina,49.86m,"163' 7""",The American Outdoor Track & Field Championships,2016-05-12,DT,W
87,"Pate, Sarah",SO-2,Northern Iowa,49.84m,"163' 6""",Wisconsin Twilight,2016-05-06,DT,W
88,"Smith, Megan",SR-4,TCU,49.78m,"163' 4""",2016 Drake Relays presented by Hy-Vee,2016-04-27,DT,W
88,"Torres, Yazmin",SO-2,Fresno State,49.78m,"163' 4""",Cal Poly/Shareslo.com Invitational,2016-03-25,DT,W
90,"Flint, Brenn",FR-1,Utah State,49.69m,"163' 0""",Mountain West Championships,2016-05-11,DT,W
91,"Monie, Nora",FR-1,Houston,49.66m,"162' 11""",The American Outdoor Track & Field Championships,2016-05-12,DT,W
91,"Bingham, Maci",SR-4,Utah State,49.66m,"162' 11""",Stanford Invitational,2016-04-01,DT,W
93,"Hillman, Sarah",SO-2,Delaware,49.60m,"162' 9""",2016 VCU Ram Invite,2016-03-19,DT,W
94,"Wilson, Abigale",FR-1,Akron,49.58m,"162' 8""",Mid-American Conference Championship,2016-05-12,DT,W
95,"Neal, Kyesha",SR-4,Toledo,49.55m,"162' 7""",Jesse Owens Track & Field Classic - Ohio State University,2016-04-22,DT,W
96,"Leppelmeier, Rebecca",JR-3,Kent State,49.54m,"162' 6""",Ohio Cherry Blossom Invitational,2016-04-02,DT,W
97,"Gilding, Latoya",FR-1,Jackson State,49.47m,"162' 4""",2016 SWAC Outdoor Championship,2016-05-06,DT,W
98,"Chappell, Sarah",SR-4,DePaul,49.46m,"162' 3""",DePaul Invitational,2016-04-16,DT,W
99,"Merriweather, Victoria",JR-3,Charlotte,49.42m,"162' 2""",Duke Invitational,2016-04-22,DT,W
100,"Lauzon, Megan",JR-3,SIU-Edwardsville,49.38m,"162' 0""",EIU Panther Twilight,2016-05-06,DT,W
1,"Vaughan, Shelbi",SO-2,Texas A&M,63.60m,"208' 8""",SEC Outdoor Championship,2014-05-15,DT,W
2,"Maroszek, Jessica",SR-4,Kansas,60.18m,"197' 5""",Big 12 Outdoor Track and Field Championships,2014-05-16,DT,W
3,"Thomas, Danniel",SO-2,Kent State,59.38m,"194' 10""",Akron Campbell Wright Open,2014-05-09,DT,W
4,"Sharbono, Jessica",SR-4,Colorado St.,58.86m,"193' 1""",Mountain West Outdoor Track & Field Championships,2014-05-14,DT,W
5,"Peoples, Kearsten",JR-3,Missouri,57.31m,"188' 0""",2014 ESU Mid-Week Open,2014-04-23,DT,W
6,"Allman, Valarie",FR-1,Stanford,57.17m,"187' 7""",Cal Opener,2014-03-08,DT,W
7,"Collatz, Alexandra",JR-3,USC,57.15m,"187' 6""",Cal State LA Invitational,2014-03-08,DT,W
8,"Labonte, Julie",SR-4,Arizona,56.84m,"186' 6""",2014 Arizona State Invitational,2014-03-28,DT,W
9,"Knibb, Kellion",SO-2,Florida State,56.49m,"185' 4""",Penn Relays,2014-04-24,DT,W
10,"Jelmini, Anna",SR-4,Arizona State,56.27m,"184' 7""",UCSD Triton Invitational,2014-04-25,DT,W
11,"Viberg, Julia",SO-2,Northern Arizona,56.13m,"184' 2""",2014 Double Dual Meet UA/ASU/NAU,2014-05-03,DT,W
12,"Cooks, Alexis",JR-3,Akron,55.68m,"182' 8""",Akron Campbell Wright Open,2014-05-09,DT,W
13,"Burrell, Jasmine",JR-3,San Diego St.,55.31m,"181' 5""",Mt. SAC Relays,2014-04-17,DT,W
14,"Smith, Megan",JR-3,TCU,55.24m,"181' 3""",Rafer / JJK Collegiate Invitational,2014-04-12,DT,W
15,"Watkins, Sequoia",JR-3,North Carolina St.,54.94m,"180' 3""",Virginia Challenge,2014-05-09,DT,W
16,"Carson, Hannah",SO-2,Texas Tech,54.90m,"180' 1""",ACU Wes Kittley Invitational,2014-04-12,DT,W
17,"Hartig, Alex",JR-3,Arizona State,54.84m,"179' 11""",Pac-12 Outdoor Track and Field Championships,2014-05-17,DT,W
18,"Brown, Devene",SO-2,Central Michigan,54.64m,"179' 3""",Spartan Invitational 2014,2014-04-04,DT,W
19,"Novy, Tera",SO-2,USC,54.60m,"179' 2""",Pac-12 Outdoor Track and Field Championships,2014-05-17,DT,W
20,"Taylor, Tremanisha",JR-3,North Carolina St.,54.56m,"179' 0""",Raleigh Relays (College/University),2014-03-28,DT,W
21,"Zarankaite, Ieva",FR-1,Oklahoma State,54.44m,"178' 7""",Big 12 Outdoor Track and Field Championships,2014-05-16,DT,W
22,"Bobek, Laura",SR-4,Oregon,54.41m,"178' 6""",Pac-12 Outdoor Track and Field Championships,2014-05-17,DT,W
23,"Kovar, Kayla",SR-4,Southern Utah,54.27m,"178' 1""",UCR Spring Break Invitational,2014-03-27,DT,W
24,"Hammar, Rebecca",JR-3,Stanford,54.10m,"177' 6""",Pac-12 Outdoor Track and Field Championships,2014-05-17,DT,W
25,"Famurewa, Beckie",SO-2,Kentucky,54.04m,"177' 3""",UCSD Triton Invitational,2014-04-25,DT,W
