,ATHLETE,YEAR,TEAM,MARK,CONV,MEET,MEET DATE,EVENT,GENDER
98,"Hocking, Blake",SR-4,UMKC,53.36m,"175' 1""",2017 Emporia State Relays,2017-04-01,DT,M
99,"Hirschmann, David",JR-3,Utah State,53.33m,"175' 0""",Mountain West Outdoor Track & Field Championships,2017-05-10,DT,M
100,"Tucker, Kyrin",JR-3,Northwestern St.,53.26m,"174' 9""",LSU Alumni Gold,2017-04-22,DT,M
1,"Mattis, Sam",SR-4,Penn,67.45m,"221' 3""",Philadelphia College Classic,2016-03-19,DT,M
2,"Cooper, Mitchell",JR-3,Kansas,62.56m,"205' 3""",Kansas Relays,2016-04-20,DT,M
3,"Mihaljevic, Filip",JR-3,Virginia,62.43m,"204' 10""",ACC Championships,2016-05-13,DT,M
4,"Kotze, Jan-Louw",SR-4,South Alabama,62.11m,"203' 9""",Florida Relays,2016-03-31,DT,M
5,"Barta, Marek",SO-2,Virginia Tech,61.38m,"201' 4""",Virginia Challenge,2016-04-22,DT,M
6,"Jagers, Phillip",JR-3,Akron,61.33m,"201' 2""",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,DT,M
7,"Reed, Hayden",JR-3,Alabama,60.83m,"199' 7""",Florida Relays,2016-03-31,DT,M
8,"Tuufuli, Reno",FR-1,Iowa,60.71m,"199' 2""",Florida Relays,2016-03-31,DT,M
9,"Percy, Nicholas",SO-2,Nebraska,60.52m,"198' 7""",Kansas Relays,2016-04-20,DT,M
9,"De Beer, Gerhard",JR-3,Arizona,60.52m,"198' 7""",2016 Duel in the Desert,2016-04-30,DT,M
11,"Williams, Joe",JR-3,Alabama,60.40m,"198' 2""",Florida Relays,2016-03-31,DT,M
12,"Ferguson, Kord",FR-1,Alabama,60.13m,"197' 3""",Florida Relays,2016-03-31,DT,M
13,"Haugh, Daniel",FR-1,Alabama,59.53m,"195' 4""",SEC Championships,2016-05-12,DT,M
14,"Walderzak, Cole",SR-4,Central Michigan,59.00m,"193' 7""",EIU Big Blue Classic 2016,2016-03-31,DT,M
15,"Kovar, Jayson",JR-3,Southern Utah,58.97m,"193' 6""",Beach Invitational,2016-04-15,DT,M
16,"Elsner, Sam",JR-3,Minnesota,58.96m,"193' 5""",Tomcat Twilight,2016-04-14,DT,M
17,"Scarvelis, Nicholas",SR-4,UCLA,58.79m,"192' 10""",Bruin Legends of T&F Invitational,2016-04-02,DT,M
18,"Ceban, Nicolai",SO-2,Kansas,58.17m,"190' 10""",Rock Chalk Classic,2016-04-30,DT,M
19,"Van Veen, JT",SR-4,Colorado St.,58.02m,"190' 4""",Mountain West Championships,2016-05-11,DT,M
20,"Hubbard, James",JR-3,Long Beach St.,57.96m,"190' 2""",Trojan Invitational,2016-03-18,DT,M
21,"Jagers, Reginald",JR-3,Kent State,57.91m,"190' 0""",Mid-American Conference Championship,2016-05-12,DT,M
22,"Young, Jordan",JR-3,Virginia,57.73m,"189' 5""",ACC Championships,2016-05-13,DT,M
23,"Bartlett, Jeff",JR-3,Texas A&M,57.41m,"188' 4""",Ricardo Romo Invitational,2016-03-24,DT,M
24,"Vaughn, Luke",JR-3,Memphis,57.33m,"188' 1""",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,DT,M
25,"Long, Kyle",JR-3,Arizona State,57.32m,"188' 1""",37th Annual Sun Angel Classic,2016-04-08,DT,M
26,"Levi, Itamar",JR-3,Arkansas State,57.28m,"187' 11""",2016 Triton Invitational,2016-04-22,DT,M
27,"Hamilton, Grant",SR-4,Air Force,57.13m,"187' 5""",Mountain West Championships,2016-05-11,DT,M
27,"Ragonesi, Gian",JR-3,Miami,57.13m,"187' 5""",Miami Hurricane Alumni Invitational,2016-04-08,DT,M
29,"Screen, Devin",SR-4,South Florida,57.01m,"187' 0""",The American Outdoor Track & Field Championships,2016-05-12,DT,M
30,"Sammons, Chase",SR-4,Oklahoma,56.94m,"186' 10""",UT Arlington Bobby Lane Invitational,2016-03-26,DT,M
31,"Brennan, Drake",FR-1,Oregon,56.88m,"186' 7""",Oregon Twilight,2016-05-06,DT,M
32,"Swarbrick, Daniel",JR-3,Cal St. Northridge,56.85m,"186' 6""",Big West Outdoor Track & Field Championships,2016-05-13,DT,M
33,"Snyder, Sam",SR-4,Rhode Island,56.80m,"186' 4""",Atlantic 10 Championships,2016-05-07,DT,M
34,"Hilliard, Desmine",SR-4,Baylor,56.57m,"185' 7""",Ricardo Romo Invitational,2016-03-24,DT,M
35,"Davis, Carlos",FR-1,Nebraska,56.53m,"185' 5""",2016 Nebraska Invitational,2016-05-07,DT,M
36,"Onyia, Emmanuel",JR-3,Florida State,56.52m,"185' 5""",UNF Twilight,2016-05-04,DT,M
37,"Lucas, David",FR-1,Penn State,56.48m,"185' 4""",Bucknell Team Challenge,2016-04-23,DT,M
38,"Damadzic, Adam",JR-3,TCU,56.44m,"185' 2""",Jim Click Shootout,2016-04-09,DT,M
39,"Kennedy-White, Noah",JR-3,Penn,56.32m,"184' 9""",Philadelphia College Classic,2016-03-19,DT,M
40,"Awotunde, Josh",SO-2,South Carolina,56.25m,"184' 6""",Alan Connie Shamrock Invitational,2016-03-17,DT,M
41,"Davis, Khalil",FR-1,Nebraska,56.19m,"184' 4""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,DT,M
42,"Budde, Riley",SO-2,Wisconsin,56.08m,"184' 0""",UW-Whitewater Drake Alternative Meet,2016-05-01,DT,M
43,"Roach, Jordan",SR-4,Virginia Tech,56.02m,"183' 9""",Florida Relays,2016-03-31,DT,M
44,"Farley, Kevin",SR-4,SE Missouri,55.94m,"183' 6""",Drury Hotels Joey Haines Invite,2016-04-01,DT,M
45,"Freeman, Josh",SR-4,Southern Illinois,55.91m,"183' 5""",Tiger Track Classic,2016-04-08,DT,M
46,"Seawright, Matt",JR-3,UC Irvine,55.87m,"183' 4""",UC Irvine Spring Break Invitational,2016-03-19,DT,M
47,"Benson, Kevin",FR-1,Cornell,55.84m,"183' 2""",Ivy League Outdoor Track & Field Championships,2016-05-07,DT,M
48,"Fulton, Fred",SR-4,Liberty,55.71m,"182' 9""",2016 Liberty Twilight,2016-05-04,DT,M
49,"Douglass, Kyle",SO-2,Montana State,55.64m,"182' 6""",Beach Pacific Coast,2016-04-14,DT,M
50,"Comenentia, Denzel",FR-1,Georgia,55.63m,"182' 6""",Spec Towns Invitational 2016,2016-04-08,DT,M
50,"Zajac, Matthew",SO-2,Tennessee,55.63m,"182' 6""",Penn Relays,2016-04-28,DT,M
52,"Peterson, Brian",FR-1,Texas,55.59m,"182' 4""",2016 Nike Clyde Littlefield Texas Relays,2016-03-30,DT,M
53,"Yohman, Jon",SO-2,Penn State,55.53m,"182' 2""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,DT,M
54,"Shivers, Anthony",JR-3,Notre Dame,55.45m,"181' 11""",2016 Louisville Invitational,2016-04-15,DT,M
55,"Douglas, Zach",JR-3,Troy,55.39m,"181' 9""",Florida Relays,2016-03-31,DT,M
56,"Ogundeji, Dotun",FR-1,UCLA,55.31m,"181' 5""",Bruin Legends of T&F Invitational,2016-04-02,DT,M
57,"Bultman, Nathan",FR-1,USC,55.25m,"181' 3""",2016 Triton Invitational,2016-04-22,DT,M
58,"Harris, Maurice",SO-2,Akron,55.02m,"180' 6""",Mid-American Conference Championship,2016-05-12,DT,M
59,"Cartwright, Grant",SO-2,Michigan,54.97m,"180' 4""",Big Ten Conference Outdoor Track & Field Championships,2016-05-13,DT,M
60,"Adams, Max",SO-2,Wake Forest,54.92m,"180' 2""",ACC Championships,2016-05-13,DT,M
61,"Ljunberg, Micael",SR-4,Northern Arizona,54.89m,"180' 1""",Jim Click Shootout,2016-04-09,DT,M
62,"Allen, Kevin",SR-4,Utah State,54.88m,"180' 1""",Mountain West Championships,2016-05-11,DT,M
63,"Gardenkrans, Viktor",FR-1,Arizona,54.86m,"180' 0""",Pac-12 vs Big 10 Invitational,2016-03-25,DT,M
64,"Campbell, John",SO-2,Navy,54.81m,"179' 10""",Penn Relays,2016-04-28,DT,M
65,"Otterdahl, Payton",SO-2,North Dakota State,54.73m,"179' 7""",Cobber Twilight,2016-04-26,DT,M
66,"McGriff, David",SO-2,Lafayette,54.71m,"179' 6""",Philadelphia College Classic,2016-03-19,DT,M
67,"Ponzio, Nicholas",SO-2,USC,54.69m,"179' 5""",California Collegiate Invitational,2016-04-02,DT,M
68,"Holtz, Issac",FR-1,Northern Iowa,54.59m,"179' 1""",2016 Husker Spring Invitational,2016-04-09,DT,M
69,"Victor, Lindon",JR-3,Texas A&M,54.56m,"179' 0""",SEC Championships,2016-05-12,DT,M
70,"Russell, Aaron",JR-3,California,54.53m,"178' 11""",The Big Meet -Cal vs. Stanford,2016-04-09,DT,M
71,"Castle, Aaron",JR-3,Arizona,54.52m,"178' 10""",Pac-12 vs Big 10 Invitational,2016-03-25,DT,M
72,"Cook, Chris",JR-3,Princeton,54.48m,"178' 9""",Ivy League Outdoor Track & Field Championships,2016-05-07,DT,M
73,"Clay, Alton",JR-3,UL-Monroe,54.42m,"178' 6""",Jace LaCoste- Mississippi State Invitational,2016-04-30,DT,M
74,"McDonald, Josh",SO-2,Wisconsin,54.41m,"178' 6""",Wisconsin Twilight,2016-05-06,DT,M
75,"DaCosta, Chadrick",JR-3,Florida State,54.22m,"177' 11""",Florida State Relays,2016-03-25,DT,M
76,"Stroh, Steffan",SO-2,North Dakota State,54.16m,"177' 8""",Beach Pacific Coast,2016-04-14,DT,M
77,"Moorer, Douglas",SO-2,Kent State,54.03m,"177' 3""",Ohio Cherry Blossom Invitational,2016-04-02,DT,M
78,"Singletary, Kalvin",JR-3,Sam Houston St.,54.01m,"177' 2""",ACU Wes Kittley Invitational,2016-04-09,DT,M
79,"Manns, Adam",JR-3,East Carolina,53.86m,"176' 8""",The American Outdoor Track & Field Championships,2016-05-12,DT,M
79,"Vallery, Rafael",SO-2,Memphis,53.86m,"176' 8""",The American Outdoor Track & Field Championships,2016-05-12,DT,M
79,"Hicks, AJ",SR-4,North Carolina,53.86m,"176' 8""",Virginia Challenge,2016-04-22,DT,M
79,"Nunally, Julian",JR-3,Harvard,53.86m,"176' 8""",Virginia Challenge,2016-04-22,DT,M
83,"Banagis, Dylan",JR-3,Central Michigan,53.85m,"176' 8""",Mid-American Conference Championship,2016-05-12,DT,M
84,"Prena, Cullen",SO-2,Oregon,53.70m,"176' 2""",Titan Twilight,2016-04-28,DT,M
85,"Hassan, Mostafa",SO-2,Colorado St.,53.62m,"175' 11""",Mountain West Championships,2016-05-11,DT,M
86,"Eustache, Jonathan",JR-3,Albany,53.59m,"175' 10""",2016 America East Outdoor Track & Field Championships,2016-05-07,DT,M
87,"Ballenger, Jared",SO-2,Ohio State,53.57m,"175' 9""",LSU Battle on the Bayou,2016-04-09,DT,M
88,"Hamsley, Codie",JR-3,Louisville,53.55m,"175' 8""",Florida Relays,2016-03-31,DT,M
89,"Vuncannan, Quaid",JR-3,Arizona State,53.54m,"175' 8""",2016 Duel in the Desert,2016-04-30,DT,M
90,"Bowling, Isaac",SR-4,Louisville,53.50m,"175' 6""",Florida Relays,2016-03-31,DT,M
91,"Merkley, Craig",SR-4,BYU,53.46m,"175' 5""",2016 BYU Robison Invitational,2016-04-21,DT,M
92,"Kinloch, James",SR-4,Sacramento St.,53.44m,"175' 4""",Mt. SAC Relays,2016-04-14,DT,M
93,"Randall , Devin",JR-3,Arkansas,53.42m,"175' 3""",Arkansas Twilight,2016-05-06,DT,M
94,"Days, Braheme",SO-2,UCLA,53.40m,"175' 2""",2016 Triton Invitational,2016-04-22,DT,M
95,"Chowning, Dyrek",JR-3,Indiana,53.29m,"174' 10""",2016 Louisville Invitational,2016-04-15,DT,M
95,"Charles, Mitchel",SO-2,Princeton,53.29m,"174' 10""",Larry Ellis Invite,2016-04-22,DT,M
97,"Akens, Aaron",SO-2,Sam Houston St.,53.24m,"174' 8""",ACU Wes Kittley Invitational,2016-04-09,DT,M
98,"Lynch, Garrett",SO-2,Wyoming,53.21m,"174' 7""",Mountain West Championships,2016-05-11,DT,M
99,"Shaw, Jevaughn",JR-3,UL-Monroe,53.15m,"174' 4""",Jace LaCoste- Mississippi State Invitational,2016-04-30,DT,M
100,"Bell, Jared",JR-3,Princeton,53.14m,"174' 4""",Ivy League Outdoor Track & Field Championships,2016-05-07,DT,M
1,"Evans, Andrew",SR-4,Kentucky,66.37m,"217' 9""",University of Tennessee Challenge,2014-05-03,DT,M
2,"Wruck, Julian",SR-4,UCLA,65.01m,"213' 3""",2014 Clyde Littlefield Texas Relays,2014-03-26,DT,M
3,"Bailey, Tavis",JR-3,Tennessee,64.51m,"211' 8""",University of Tennessee Challenge,2014-05-03,DT,M
4,"Brown, Rodney",JR-3,LSU,64.26m,"210' 10""",Penn Relays,2014-04-24,DT,M
5,"Finley, Mason",SR-4,Wyoming,64.17m,"210' 6""",Cowpoke Open,2014-05-03,DT,M
6,"Wright, Chad",SR-4,Nebraska,63.96m,"209' 10""",Big Ten Outdoor Track & Field Championships,2014-05-16,DT,M
7,"Crouser, Ryan",JR-3,Texas,63.90m,"209' 8""",Big 12 Outdoor Track and Field Championships,2014-05-16,DT,M
8,"Reed, Hayden",FR-1,Alabama,63.74m,"209' 1""",SEC Outdoor Championship,2014-05-15,DT,M
9,"Hull, Gabe",JR-3,Iowa,63.11m,"207' 1""",Musco Invitational,2014-05-03,DT,M
10,"Weldon, Kole",JR-3,Texas Tech,62.05m,"203' 7""",TTU Red Raider Open,2014-05-03,DT,M
11,"Mattis, Sam",SO-2,Penn,61.87m,"203' 0""",Larry Ellis Invitational,2014-04-16,DT,M
12,"Mihaljevic, Filip",FR-1,Virginia,60.41m,"198' 2""",2014 Clyde Littlefield Texas Relays,2014-03-26,DT,M
13,"Mozia, Stephen",JR-3,Cornell,60.30m,"197' 10""",2014 ECAC-IC4A Outdoor Championships,2014-05-16,DT,M
14,"James, Antonio",JR-3,Michigan State,60.15m,"197' 4""",Ashland Alumni Open,2014-04-25,DT,M
15,"Kosecki, Matthew",SR-4,UCLA,59.95m,"196' 8""",Mt. SAC Relays,2014-04-17,DT,M
16,"Howard, Dominique",JR-3,Minnesota,59.81m,"196' 3""",Big Ten Outdoor Track & Field Championships,2014-05-16,DT,M
17,"White, Derek",SR-4,California,59.42m,"194' 11""",The Big Meet,2014-04-12,DT,M
18,"Tudor, Macklin",SO-2,Cincinnati,59.37m,"194' 9""",Louisville Twilight Classic,2014-05-16,DT,M
19,"Fricke, Caleb",SO-2,Purdue,59.35m,"194' 9""",Dave Rankin Invite,2014-05-02,DT,M
20,"Banagis, Dylan",FR-1,Central Michigan,59.23m,"194' 4""",GVSU Last Chance Meet,2014-05-10,DT,M
21,"Jagers, Reginald",SO-2,Kent State,59.19m,"194' 2""",Akron Campbell Wright Open,2014-05-09,DT,M
22,"Masington, Eric",SR-4,Connecticut,58.80m,"192' 11""",NEICAAA Outdoor Track & Field Championships,2014-05-08,DT,M
23,"Clavette, Courtland",JR-3,Brown,58.68m,"192' 6""",Ivy League Outdoor Track & Field Championships,2014-05-10,DT,M
24,"Spence, Will",JR-3,Texas,58.61m,"192' 3""",Longhorn Invitational,2014-05-03,DT,M
25,"Harrell, Jason",SR-4,Long Beach St.,58.46m,"191' 9""",Anteater Four-Way Meet,2014-03-15,DT,M
26,"Kotze, Jan-Louw",SO-2,South Alabama,58.41m,"191' 8""",Jaguar Opener,2014-03-07,DT,M
27,"Block, Danny",SR-4,Wisconsin,58.29m,"191' 3""",UCSD Triton Invitational,2014-04-25,DT,M
28,"Duncavage, Zachary",SR-4,Navy,58.27m,"191' 2""",Penn Relays,2014-04-24,DT,M
29,"Thomas, Paul",JR-3,Wyoming,58.19m,"190' 11""",Cowpoke Open,2014-05-03,DT,M
30,"Tayala, Matthias",JR-3,Kent State,58.15m,"190' 9""",Mid-American Outdoor Track & Field Championships,2014-05-15,DT,M
